K1,K2,K3,K4,K5,Pareto
85.0133,6.44916,49.7927,9.61781,47.0659,0
57.0734,8.76148,77.7471,29.4656,5.57067,0
72.7669,92.0262,75.3102,14.1426,52.1618,0
86.2598,93.668,44.7822,52.5213,6.94736,0
24.4548,26.288,43.5795,50.5806,19.452,0
48.1079,39.6113,9.70753,64.5606,59.1438,0
87.0779,55.8028,71.7566,31.2372,27.7529,0
44.6199,12.8153,19.8758,78.573,77.4262,0
54.9983,68.4694,93.5331,34.2128,58.9108,0
91.261,1.09384,17.6846,27.6531,11.5486,0
88.4324,84.6018,82.9039,76.0344,13.0115,0
78.6915,48.2589,83.7245,31.2888,9.09848,0
69.6827,23.3244,77.7925,33.6148,91.1401,0
11.8953,66.8878,0.530641,60.7044,63.6312,0
9.51394,37.4135,23.27,43.9645,41.0444,0
45.6405,87.0727,23.9031,60.9548,3.31267,0
13.8456,36.1007,75.5185,34.0095,25.0308,0
56.7909,14.3642,20.8241,32.1291,22.5457,0
42.3941,18.8387,45.3802,89.7873,32.4582,0
9.87295,37.6963,50.9511,31.6601,25.51,0
16.9064,50.72,55.2534,52.0868,89.1784,0
94.0208,92.1395,71.4276,55.0305,0.426785,0
23.7098,70.674,92.2823,21.8523,81.4824,0
59.8447,31.7197,91.2668,57.7328,89.018,0
51.9941,82.815,12.2852,39.2462,14.187,0
35.1423,46.6441,46.9639,18.1285,87.6141,0
14.4635,32.083,70.0991,71.9914,83.855,0
21.0274,56.8156,38.3545,24.3669,6.55808,0
99.5831,97.9846,36.9768,80.7524,63.1511,1
8.65226,8.59244,24.0698,53.3727,49.5057,0
35.2523,5.04358,41.5518,32.8636,85.2526,0
26.3689,8.66328,15.6825,3.82307,98.6334,0
67.6405,79.3027,30.1255,97.5581,92.9793,1
38.1267,28.0092,47.4224,96.9641,4.07022,0
64.2595,56.3261,17.9435,46.2989,36.1786,0
44.8481,31.7728,0.369765,10.9728,10.1343,0
59.3348,70.0136,89.2388,78.8546,94.8299,1
52.7314,89.2275,31.6832,69.252,86.7546,0
11.5247,74.8121,14.3652,66.0874,5.16684,0
8.47794,97.328,96.1452,87.1984,23.6077,1
18.6239,0.288493,79.8747,21.9909,24.3462,0
13.942,75.3766,66.9569,85.1369,24.4473,0
93.2679,10.5205,29.154,81.6969,82.5805,1
46.2354,80.5869,45.4383,56.4188,18.5601,0
25.8353,86.4671,81.0965,94.1871,12.7715,0
52.3195,78.9351,69.33,71.5773,71.6422,0
92.0173,56.0897,43.4022,35.6296,65.5785,0
64.7551,42.4932,34.4055,65.0557,38.4439,0
50.8342,82.7033,52.1031,46.3493,65.9966,0
47.1623,71.6324,3.997,47.2626,62.4337,0
58.0518,29.2327,37.4932,45.0626,70.4301,0
54.0083,64.431,26.7403,99.2478,51.4909,1
63.1182,34.7917,9.05483,24.4803,29.4621,0
65.9495,47.7719,95.7179,86.045,72.623,1
60.379,57.3961,98.6328,36.1834,24.6024,1
54.8659,61.6366,0.629626,29.1478,3.80351,0
55.3756,25.8313,62.3221,83.6376,33.1286,0
13.9844,59.2101,26.8716,98.125,42.539,0
11.4393,27.3508,33.9373,42.8663,30.4232,0
24.3824,62.8874,27.6198,70.1781,60.1253,0
14.5404,55.2302,11.2043,78.6815,46.3739,0
87.956,68.9832,18.0874,2.12333,1.40433,0
26.282,27.8384,67.4627,85.6751,57.303,0
12.1174,73.5819,45.5985,82.4895,0.829463,0
20.3039,95.9793,26.7988,22.7018,95.696,0
65.9165,14.1651,27.2378,68.8731,87.581,0
93.2074,88.1261,41.578,36.8738,97.6722,1
21.8842,18.882,51.196,66.7834,56.3335,0
87.9336,69.667,42.9801,91.0754,45.3133,0
36.2898,92.5461,48.1091,21.0361,41.1379,0
58.9896,77.9124,5.63632,71.707,61.113,0
56.0487,9.74114,87.4142,56.136,76.7675,0
41.1886,6.29208,85.0274,77.0254,68.0856,0
72.5637,14.2787,66.1394,68.1811,90.7179,0
53.3186,17.8905,38.0794,71.6854,71.9307,0
8.45235,51.2202,15.6112,5.38592,75.795,0
37.0808,99.9122,18.0901,39.3811,62.8902,1
50.6726,89.4564,23.128,13.5917,78.858,0
31.5284,84.0548,49.1853,94.8775,28.0314,0
20.2503,88.4577,98.9566,29.7861,66.9436,1
10.8709,27.468,10.1203,19.3509,88.6229,0
38.6042,84.2552,8.23014,76.6624,85.179,0
97.116,9.07894,61.8351,56.1668,41.2143,0
36.2801,26.0141,15.2339,41.7245,28.5482,0
29.3474,1.96174,70.9411,20.5678,54.7518,0
45.8974,81.937,71.8687,94.9066,29.9466,0
15.366,46.105,13.5882,65.761,23.569,0
21.4513,55.4254,16.9137,35.9479,47.2318,0
21.6447,68.4507,39.3502,16.9049,28.4565,0
24.7267,70.3035,4.17033,68.5934,35.4286,0
20.9311,35.1586,99.6294,7.23796,71.0565,0
87.3479,93.8077,86.416,16.5769,15.7764,0
96.1101,96.5368,1.27639,12.2378,72.4364,1
97.1623,15.5103,79.9931,3.06416,64.9392,0
59.1766,63.3024,55.3437,91.4735,12.6678,0
34.0668,65.3659,25.3495,0.189726,24.8563,0
26.6889,42.6446,45.2696,44.5375,75.5852,0
22.3271,99.7779,78.6034,54.2955,97.1046,1
11.6257,36.6292,36.1243,13.7806,18.3001,0
71.066,90.0156,61.0725,91.8918,55.9494,1
54.4797,72.6837,49.429,54.2954,43.4317,0
2.17972,21.2566,62.9184,92.1895,88.7064,0
85.2968,88.0306,17.8381,70.3744,21.1186,0
31.9911,45.6537,41.5198,38.7437,88.1103,0
42.7956,30.2118,61.104,17.285,86.5142,0
92.1277,15.5174,91.9894,51.5197,37.0683,0
97.775,66.4178,54.486,83.5845,21.7735,0
94.6677,35.8372,53.0877,38.4343,82.373,0
4.35826,32.3239,23.27,93.1758,62.3492,0
36.8246,42.8307,72.0732,92.0873,12.3115,0
53.1875,3.7907,64.3922,25.1192,80.4872,0
87.6321,45.6667,18.4636,84.1427,67.1781,0
46.3338,67.7955,72.5596,47.2312,17.9044,0
51.815,86.3211,60.4467,86.4065,80.7982,1
29.9514,8.83884,23.475,56.9294,15.0049,0
4.38103,94.112,6.72055,82.5206,42.0271,0
29.773,46.7635,28.8248,87.8382,41.5,0
19.3194,2.35143,18.0319,7.95959,97.5756,0
45.7163,37.5506,30.1288,2.45183,15.1366,0
0.315611,12.3729,28.4946,80.0049,98.1256,1
76.48,61.8567,45.7722,95.7244,7.21376,0
6.66313,87.4488,37.3977,7.6327,57.983,0
30.0296,49.0729,98.7147,94.1849,69.3001,1
14.7027,97.3276,11.784,35.8809,51.1171,0
18.6361,26.2767,84.2568,24.8278,82.7787,0
52.3153,69.6613,11.285,70.0141,7.81175,0
81.3563,0.711436,98.1631,6.98983,34.2856,1
96.1535,29.8805,51.4836,7.65782,8.35383,0
40.7983,2.1353,22.0265,4.72946,72.6221,0
77.1284,64.0187,63.1866,80.7303,1.58456,0
4.4208,66.8357,98.753,11.2772,54.3493,0
92.8212,70.3447,49.8734,37.9856,28.6263,0
86.9785,13.1387,89.226,22.273,50.4528,0
80.5081,9.67962,8.75762,10.1175,41.9601,0
36.9418,65.667,57.2026,74.9835,33.4957,0
91.198,10.4294,14.5167,31.1117,25.8442,0
90.9126,94.8877,57.9788,87.8682,46.3143,1
15.7723,23.5399,6.86637,68.9678,1.49626,0
71.3043,36.4972,37.8401,74.3319,15.3171,0
9.05329,4.18985,30.6942,56.3459,51.0017,0
28.7104,57.3377,6.37688,35.0346,50.1958,0
29.3064,67.6864,92.1015,32.9042,0.76791,0
75.8682,84.4285,76.8139,27.7955,92.0464,1
42.4831,34.2754,16.8475,14.1443,3.66249,0
89.0249,9.76146,16.1426,43.5408,95.3763,0
58.4141,93.3532,94.7619,61.1999,72.7002,1
57.1608,95.4585,63.0253,8.34273,10.9763,0
94.3529,88.0955,25.1197,8.49452,95.1914,1
55.3248,99.4179,41.1698,10.7151,51.6456,0
96.7795,42.7953,57.6688,78.8035,3.26792,0
87.3585,80.2854,67.9832,54.5685,15.4025,0
64.74,67.8584,60.4637,81.8925,45.4211,0
95.281,88.8321,59.3857,58.097,35.1627,0
86.6042,9.39888,18.0109,33.2478,96.9217,0
10.428,59.4565,65.3885,85.0703,90.7742,0
23.7373,82.253,52.0385,69.696,7.85181,0
90.6312,52.2709,39.5095,16.6159,0.426465,0
57.2461,11.7746,97.0545,37.0884,14.2041,0
27.1722,9.69057,24.3524,88.2264,65.3892,0
48.5092,57.8608,41.2258,86.2515,47.7843,0
80.7299,24.9444,30.5924,33.6647,32.9299,0
39.8387,70.459,73.4926,81.5351,21.0094,0
95.7024,39.2966,12.9343,80.993,64.9441,0
57.9911,31.3558,80.9335,48.6171,72.8293,0
27.1384,6.28191,9.57471,92.4133,91.5955,0
49.0208,9.72302,76.0026,14.2826,97.6837,0
45.7316,82.2151,84.9716,54.9823,50.651,0
15.3814,31.2448,65.3224,10.1475,49.1197,0
10.9852,71.2085,56.6766,29.4475,47.1836,0
79.1467,66.7862,43.6279,19.0031,30.0996,0
35.284,46.5245,24.5227,12.9052,1.83529,0
83.5112,53.7771,34.0151,33.653,79.4735,0
39.2223,67.9777,92.5808,45.6162,34.6178,0
52.5232,38.4206,55.8652,73.3697,53.2217,0
4.87347,97.7783,38.8045,68.8969,45.7602,0
24.7794,53.3387,18.2296,61.4185,71.9159,0
91.1872,45.9044,38.185,87.3879,52.4692,0
56.1598,39.8579,51.9835,17.8901,62.064,0
9.34523,55.9005,83.865,11.9181,61.5137,0
22.5345,91.163,14.1924,29.4355,14.0982,0
22.8953,41.312,32.7863,27.1166,34.3499,0
39.1599,54.3924,69.2546,15.0753,96.098,0
79.4616,63.0945,77.203,92.4328,95.4348,1
72.9468,68.947,7.7363,88.6951,61.9044,0
37.5335,13.7869,76.1909,99.0241,17.8667,0
79.3637,57.7435,53.9645,13.4648,70.0289,0
78.0124,30.2082,25.1273,15.4127,67.3537,0
23.1846,5.43761,38.5213,54.7018,27.3865,0
41.1344,47.4128,0.566616,7.69034,62.7028,0
56.822,24.7497,70.1434,17.2918,95.4561,0
91.7903,69.6724,35.3087,25.0863,67.662,0
1.76955,66.5344,91.1528,36.2226,22.9926,0
55.4319,36.838,61.5195,20.4433,35.5528,0
51.0007,37.3529,26.5807,85.5143,93.2477,0
73.1412,13.9714,92.975,44.6632,2.94319,0
19.4468,95.8266,87.6893,82.8954,41.8467,0
41.693,49.8492,20.1436,39.734,42.2552,0
77.7399,31.8987,14.6879,14.0893,20.5094,0
90.8615,89.7607,16.7511,5.8736,27.724,0
53.801,94.8997,80.2751,76.9774,86.9037,1
9.15397,23.9439,82.9564,75.1751,96.5998,0
13.0781,52.0067,6.79476,26.1136,33.9755,0
76.1761,65.107,91.6501,51.6489,79.2427,1
33.3861,44.3881,56.2734,69.9916,57.5963,0
68.3382,99.1673,85.1985,33.679,1.00364,1
1.01927,78.6204,80.7442,90.8326,59.7639,0
72.3916,54.0407,93.6085,7.80419,79.8896,0
28.2847,34.1449,13.3963,17.0956,38.8596,0
24.3353,60.0108,68.2306,22.3923,98.4142,1
59.6923,87.6906,73.8907,23.6086,78.3692,0
8.96004,15.6372,30.0261,46.5536,47.7977,0
72.8941,5.04361,94.5012,21.7313,65.0777,0
73.1823,1.12486,24.2861,56.3904,71.3045,0
36.2808,2.22853,69.6464,96.9288,41.3485,0
76.9842,97.3073,18.3971,97.0345,10.505,0
66.5051,15.6805,28.3697,26.7453,84.907,0
63.5942,64.6561,14.1847,4.9217,20.705,0
75.3547,34.8602,11.3317,89.2176,17.6583,0
0.0645744,57.5794,45.6628,11.0957,74.9412,0
87.2384,47.1277,39.9735,51.8797,47.8889,0
13.7769,3.16563,86.5607,20.1558,55.8524,0
91.5557,21.7581,43.8666,23.9489,58.9799,0
50.2559,52.9661,9.24231,84.243,36.2382,0
66.9939,54.7356,54.9027,34.725,9.09202,0
34.8765,74.8734,86.424,41.575,92.9144,1
0.964722,47.2381,48.8303,49.9657,85.9937,0
32.1608,76.1538,36.9388,41.5992,80.3437,0
87.1009,92.8226,91.4946,27.5062,20.6539,1
77.0597,0.843544,37.578,60.5075,36.0693,0
33.0125,64.0958,50.5687,25.6728,81.7317,0
91.093,30.1544,36.9804,81.8454,3.26187,0
44.8577,69.491,47.7828,4.9893,57.7992,0
21.8116,31.8083,56.3032,36.5835,38.0764,0
59.0878,82.7275,12.7286,3.95909,59.9066,0
60.4086,66.8639,48.3924,64.9554,85.0101,0
35.8223,58.6766,92.7229,65.147,40.6708,0
10.6431,84.1915,16.3327,12.9304,18.6094,0
52.4698,27.0892,27.2571,12.8738,26.6126,0
38.8144,52.7792,0.395652,44.739,67.6238,0
52.5547,82.8726,19.9476,40.6671,69.1574,0
33.9308,18.1907,20.3118,40.3627,19.3101,0
29.6968,1.28298,5.81387,41.2779,32.8489,0
80.7422,98.0094,63.7587,36.9816,91.1884,1
47.0712,36.1186,20.6461,87.2856,61.2417,0
19.0407,79.2164,25.277,1.34385,65.1238,0
87.115,24.8125,38.8841,43.2719,52.1775,0
53.6822,34.5212,30.3873,27.2105,61.2998,0
37.4843,16.7771,65.6367,57.3188,29.4102,0
26.2675,35.5843,16.276,86.7909,64.1772,0
41.6504,38.4482,24.704,75.3958,35.9509,0
24.7131,92.4306,49.8285,27.9272,87.602,0
37.247,15.1004,68.4838,20.0084,22.6137,0
94.8043,93.7841,12.5378,33.3962,46.4557,0
18.4864,31.7327,38.1552,1.6509,51.8121,0
23.7971,36.4125,49.8636,6.4801,49.837,0
88.1325,28.7218,33.8757,80.9563,44.0334,0
72.2717,10.9543,43.6896,49.778,14.0096,0
28.1957,66.5344,42.1635,72.7476,31.3342,0
14.3453,36.2706,28.5416,44.9581,99.8697,1
92.5008,94.7072,27.4876,44.0412,31.6131,0
90.4456,54.3048,64.5505,95.0691,94.5871,1
62.5886,86.4917,38.4228,25.4315,53.2683,0
2.65658,9.77065,73.3804,56.6759,34.8178,0
83.0914,60.7527,1.21083,92.9932,22.843,0
36.4922,36.1224,3.26372,18.8807,68.6048,0
44.4969,96.1618,38.3955,92.1151,59.9358,1
2.558,92.9172,57.4031,96.2649,19.7798,0
7.41548,66.5246,77.385,95.3351,65.5893,0
78.6643,73.905,97.8596,62.2284,2.6705,1
49.0588,92.8349,17.7133,30.8726,71.8215,0
33.1246,17.7058,5.17172,18.5781,61.0183,0
3.70803,25.6119,96.7198,39.3556,29.5905,0
9.75646,40.3566,71.9842,30.2307,23.3946,0
29.5947,64.5795,99.5599,0.624954,39.3088,0
93.2206,26.5305,97.5361,79.2504,98.3106,1
36.2788,97.1749,43.828,95.8334,73.4336,1
90.7205,89.0378,92.4661,93.4238,40.6297,1
83.6779,28.0082,69.4299,41.2041,54.8153,0
65.6651,33.639,79.2675,49.1621,69.8729,0
51.7198,80.0617,3.84199,10.4329,1.46357,0
0.117051,94.6473,75.1633,61.8932,33.9437,0
49.8132,29.8866,68.9499,6.84563,61.8677,0
22.4947,17.9823,56.264,99.4185,0.457865,1
50.2663,46.7764,63.5858,72.5344,52.979,0
64.9283,67.6592,30.1836,58.9535,93.189,0
96.26,86.696,93.4781,36.0916,74.8969,1
18.6372,32.9708,41.4859,49.512,48.1331,0
10.679,82.6055,46.8639,49.4264,25.0932,0
27.2251,23.2429,81.945,7.54011,11.0922,0
14.7075,6.59683,14.0695,30.6922,29.6922,0
55.1765,15.8195,14.6142,50.6575,84.9089,0
87.9759,10.6627,68.8282,53.5309,79.9435,0
52.6232,53.771,45.0163,86.2262,40.3542,0
61.5793,17.0435,54.9101,95.3233,42.7055,0
5.06941,57.0668,84.0036,82.1491,48.05,0
31.2194,27.4448,41.576,48.5166,98.9361,1
38.4757,4.93025,76.8279,3.72392,24.7744,0
85.6891,26.5145,15.4752,98.4401,22.9379,0
44.6288,40.5213,14.7974,84.7405,51.5427,0
79.5387,7.69832,98.2713,94.4236,11.4011,1
17.1667,78.6107,71.6932,98.3687,1.61235,0
92.977,97.3749,81.9731,79.0541,53.8736,1
96.3682,91.5019,31.3413,20.8139,81.8585,1
73.7768,41.6615,31.7832,71.9475,26.002,0
23.9582,64.479,41.9818,94.64,60.7241,0
59.2247,27.0045,5.40718,4.1301,35.4246,0
89.7428,89.2475,29.0777,35.8608,70.9157,1
95.3542,32.4183,70.2498,65.4368,10.7113,0
21.0315,64.7679,81.7351,0.361839,51.538,0
50.3503,64.6916,22.5031,47.1677,35.291,0
55.4795,82.6311,99.6686,43.7675,68.5897,1
78.6045,33.8101,70.397,75.2902,31.7812,0
66.7755,13.0042,64.8875,43.4513,44.5362,0
10.5404,93.2956,80.8854,23.8122,22.9276,0
69.0144,39.9051,1.89851,82.5233,41.6703,0
42.143,53.5389,14.5804,55.3122,20.1114,0
79.4281,45.5103,11.7833,39.7363,37.8234,0
41.1122,31.9931,71.1104,12.276,80.8287,0
88.8649,58.7161,89.4114,81.3,33.0909,0
16.8943,47.2832,79.5619,85.5684,26.7053,0
88.8897,46.2275,56.5823,61.3742,23.8178,0
51.0848,19.5763,6.97772,81.6489,78.3967,0
7.1985,59.7065,99.4125,26.1376,48.8667,0
7.81101,9.70387,23.4814,48.3474,63.3822,0
60.2972,39.0017,48.8045,85.7392,11.1956,0
43.8547,40.3719,5.67516,22.7136,11.5093,0
83.0758,12.3447,47.3694,78.4277,55.6722,0
37.0337,83.4414,63.0553,16.6549,75.23,0
69.5799,68.8362,55.7033,97.505,92.1955,1
14.6991,50.7869,17.3517,48.0294,78.6671,0
20.5681,37.7734,16.8326,59.5938,49.8145,0
19.9284,99.2096,43.5003,94.2893,50.2015,1
52.8997,4.50304,27.7821,69.0996,88.122,0
51.9655,73.2342,34.1954,63.2762,9.63008,0
1.41294,28.4531,19.9859,66.8253,7.70055,0
55.31,61.7007,13.2851,20.4487,30.254,0
84.3542,26.591,88.1911,98.3833,70.5983,1
52.9342,69.2778,8.47148,15.1713,49.5735,0
40.4282,48.1043,66.5986,93.8852,7.70101,0
74.3708,60.8981,51.9566,96.6498,54.4957,1
3.03591,99.1284,10.4649,73.2984,30.7053,0
44.7237,23.1195,63.1928,55.9081,68.9979,0
93.0393,77.9839,52.3869,14.417,13.7121,0
78.1659,97.9974,19.6791,94.7579,8.3004,1
95.0433,93.8822,76.7005,11.4033,55.8437,1
41.2714,60.9786,95.4735,29.1535,69.1854,0
77.6354,65.6304,36.1466,86.1879,93.9714,0
56.5422,53.8274,94.4132,93.0716,38.8072,1
1.62895,85.8162,53.1623,32.1772,9.76479,0
68.4144,72.4537,29.4968,26.6057,8.96263,0
60.8604,6.38259,76.3984,51.8764,82.8655,0
34.5657,62.2394,67.8773,81.377,21.571,0
6.51181,10.1943,1.37181,84.9284,64.7393,0
83.6401,80.4879,19.9973,75.7878,97.8288,1
0.65089,84.155,89.2103,35.6808,11.8538,0
36.5048,85.3346,11.6307,40.2334,92.0265,0
65.5238,43.7743,36.3559,31.16,8.83521,0
0.181012,3.974,35.4147,17.5606,98.3946,0
67.0559,49.8834,64.3132,12.5177,13.6697,0
2.96761,54.3548,59.2808,1.91161,77.8115,0
54.0571,75.7543,42.9614,58.9257,67.2477,0
51.7403,99.902,63.6524,97.8786,47.2788,1
58.3296,73.5149,54.0897,88.6153,95.5223,1
68.8934,67.4194,69.2979,70.7878,15.4854,0
45.6504,19.9736,76.9831,2.12545,49.2628,0
27.4564,48.9094,20.6034,18.1839,37.1268,0
55.0589,56.8826,19.9249,51.0619,73.0836,0
37.3592,45.0709,77.3909,52.2735,92.5675,0
11.8304,30.7378,69.8214,86.5781,73.0888,0
94.9054,99.4004,12.4645,49.6626,49.6585,1
57.7572,94.6481,88.7836,59.3878,38.4562,0
79.8077,34.0516,41.4855,26.9685,37.4008,0
56.4621,29.4014,6.72058,57.6977,61.3656,0
73.625,54.4121,38.7853,8.265,95.7858,0
42.8827,85.9125,91.5889,44.7738,21.5053,0
59.4369,87.1812,59.3041,96.3643,73.8858,1
48.2314,55.8887,90.734,40.9844,12.1659,0
50.2839,90.2999,1.26912,72.7881,94.9122,1
58.4428,82.3979,56.2613,3.61439,41.5791,0
25.4509,40.5634,55.3677,65.9366,92.7519,0
48.133,90.087,83.7392,2.27269,6.5012,0
74.153,14.4349,50.0217,76.5888,13.9631,0
57.1635,19.79,89.1803,16.929,57.6713,0
49.3721,79.9227,77.6089,43.6006,4.46001,0
26.5059,38.8844,91.324,20.6593,63.1455,0
33.9633,32.7671,30.8768,20.4288,26.397,0
